R0000100,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1998,2000
50,315,315,315,347,315,315,315,468,315,315,315,468,468,406,777,777
51,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,19,689,65,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,436,-4,453,438,466,189,864,426,-4,-4,-4,-4,-4,-4,-4,277
54,875,804,875,875,804,855,805,844,599,853,777,844,-5,748,585,585
55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,276,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,253,389,375,313,337,5,313,189,187,228,189,19,19,187,187,187
58,164,164,19,19,164,19,19,19,19,19,15,164,164,164,243,243
59,534,359,736,736,736,736,736,736,736,19,379,736,736,736,734,734
60,-5,777,549,549,538,55,235,518,549,259,547,518,518,235,547,549
61,319,389,307,389,19,27,376,426,253,253,307,243,375,23,253,229
62,435,275,637,438,444,315,313,313,313,313,234,234,234,234,234,234
63,883,276,813,229,229,229,-5,-5,-5,-5,-5,19,19,243,19,19
64,308,375,375,469,308,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,313,389,439,335,337,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,365,365,869,357,856,889,567,785,844,-5,856,844,844,844,844,-5
67,274,274,223,-5,-5,5,166,19,255,19,7,7,7,243,-5,-5
68,315,195,153,229,229,184,64,229,166,65,313,159,159,-4,-4,-4
69,175,376,335,277,274,-5,-5,-5,-5,-5,-5,64,64,7,7,7
70,567,567,569,29,877,218,216,877,53,243,243,365,365,274,243,-5
71,274,459,274,274,459,153,6,178,178,178,178,178,-5,178,178,178
72,435,313,337,337,337,337,23,23,23,23,319,23,23,19,379,379
73,459,274,856,498,7,-5,274,256,-5,-5,-5,13,13,154,-5,256
74,313,435,435,435,435,435,435,19,19,185,435,19,165,-5,-5,-5
75,389,389,319,19,197,197,363,19,277,277,19,277,277,277,277,277
76,885,887,805,805,877,804,243,185,185,185,285,805,805,185,185,185
77,459,459,387,128,175,253,375,386,23,253,375,375,375,26,166,19
78,95,447,447,406,229,229,64,64,95,95,95,-4,-4,-4,-4,-4
79,166,869,-4,23,229,25,253,25,255,19,19,7,7,7,25,19
80,804,689,-5,813,-5,-5,-1,263,277,277,277,277,-3,156,157,157
81,-4,-4,-5,274,-4,444,438,464,883,426,274,213,575,575,19,195
82,-5,-5,-5,887,-4,-5,579,-4,-4,-4,-4,-4,364,486,599,-4
83,883,444,365,438,686,679,805,-4,-4,566,889,686,-4,-4,-4,-4
84,453,365,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,769,-4,686
85,514,-4,686,686,686,-5,439,-4,709,-4,-4,-4,-4,-5,-4,786
86,-4,-4,-4,-4,-4,-4,-4,-4,-4,276,276,276,449,449,449,449
87,889,453,-5,558,453,567,869,277,266,364,365,365,-3,439,274,883
88,189,189,189,444,355,355,355,33,337,316,376,276,276,343,339,23
89,313,253,389,376,375,274,375,375,328,375,375,253,253,184,376,253
90,365,339,229,229,229,253,229,229,229,64,64,229,229,64,229,64
91,-4,274,274,-4,389,313,313,313,229,64,64,64,229,65,56,-5
92,274,274,446,446,446,446,446,436,436,436,444,439,276,276,436,436
93,365,276,-4,-4,-4,734,737,436,436,19,19,19,19,19,883,779
94,18,486,235,889,856,486,-5,486,486,19,889,19,558,558,-5,486
95,378,337,23,337,389,-4,323,-4,276,337,379,538,435,337,313,33
96,313,424,243,19,337,19,339,339,337,339,337,389,337,15,15,19
97,347,207,95,95,95,447,95,207,207,207,95,207,207,207,207,207
98,-4,435,435,435,435,435,435,-4,-4,-4,-4,-4,-4,-4,-4,-4
99,313,-5,-5,385,313,307,458,327,274,285,376,274,274,277,313,313
100,446,447,-5,434,435,-4,379,308,313,313,30,19,19,5,5,5
101,56,59,59,59,59,57,19,56,633,56,59,19,19,57,57,-5
102,446,446,274,276,275,313,313,313,37,5,379,308,308,313,5,-5
103,274,276,274,225,229,229,64,213,213,64,525,525,525,64,64,64
104,375,375,375,-5,-5,-5,-5,-5,-5,-5,-5,375,375,375,375,375
105,376,308,424,337,255,386,375,337,254,254,174,254,254,379,379,255
106,357,-4,43,235,229,225,225,225,43,225,79,184,78,76,19,19
107,365,274,274,274,163,27,27,163,174,27,163,27,105,27,27,27
108,365,877,365,365,806,148,23,156,254,365,364,389,178,178,178,178
109,313,308,389,308,375,253,65,344,375,375,375,253,64,64,-5,-5
110,19,19,229,229,338,389,59,64,-3,64,64,308,308,64,55,55
111,389,313,-4,-4,-4,-4,873,-4,-4,-4,406,486,796,447,447,447
112,435,-4,889,418,313,427,365,376,378,23,376,376,468,468,406,-5
113,-4,-4,-4,-4,595,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,704,453,704,777,-5,704,-5,633,637,-5,-5,-5,-5,-5,-5,-5
115,274,276,274,203,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
116,313,313,444,-5,-5,-5,-5,-5,-5,376,-5,-5,-5,-5,-5,-5
117,644,644,844,777,709,27,637,633,633,756,558,633,633,633,503,503
118,379,434,637,777,784,-5,-5,364,368,888,162,59,33,33,33,-5
119,759,188,486,784,284,658,804,883,804,188,188,188,188,188,188,188
120,444,434,434,434,375,376,254,303,254,254,19,243,254,254,16,16
121,348,276,243,307,389,633,308,229,7,19,339,339,385,339,339,336
122,567,567,567,567,567,869,855,558,869,575,575,575,575,575,554,-5
123,365,365,243,877,-5,223,208,224,48,-5,-5,73,73,-5,-5,-5
124,274,276,435,276,254,253,254,-4,276,323,-4,-4,-4,277,-4,-4
125,276,274,274,558,268,-5,-5,804,567,565,567,567,567,567,809,809
126,19,274,274,274,268,243,243,19,19,843,19,19,19,243,19,274
