Identifier,Age,Schooling,Choice,Wage
155,21.0,9.0,blue_collar,
155,22.0,9.0,blue_collar,24200.122288961622
155,23.0,9.0,blue_collar,27961.394318759532
162,16.0,10.0,schooling,
162,17.0,11.0,schooling,
162,18.0,12.0,schooling,
162,19.0,13.0,schooling,
162,20.0,14.0,schooling,
162,21.0,15.0,home,
162,22.0,15.0,schooling,
162,23.0,16.0,white_collar,24961.830732790586
162,24.0,16.0,white_collar,32441.328043191334
162,25.0,16.0,white_collar,43618.19957978156
162,26.0,16.0,white_collar,36647.178444331475
163,16.0,10.0,schooling,
163,17.0,11.0,schooling,
163,18.0,12.0,schooling,
163,19.0,13.0,schooling,
163,20.0,14.0,schooling,
163,21.0,15.0,schooling,
163,22.0,16.0,white_collar,19919.793088135244
163,23.0,16.0,white_collar,12286.552955791854
163,24.0,16.0,white_collar,13337.818540764985
163,25.0,16.0,white_collar,30998.626673445182
166,16.0,10.0,schooling,
166,17.0,11.0,schooling,
166,18.0,12.0,blue_collar,
166,19.0,12.0,white_collar,8710.149923570774
166,20.0,12.0,white_collar,7947.974498631949
166,21.0,12.0,white_collar,8181.89282125455
166,22.0,12.0,blue_collar,19973.689958410374
166,23.0,12.0,white_collar,20053.661146220085
166,24.0,12.0,blue_collar,19183.6733446031
166,25.0,12.0,schooling,
171,16.0,10.0,schooling,
171,17.0,11.0,schooling,
171,18.0,12.0,schooling,
171,19.0,13.0,blue_collar,12035.966061784799
171,20.0,13.0,schooling,
171,21.0,14.0,blue_collar,13733.253656183308
171,22.0,14.0,schooling,
171,23.0,15.0,blue_collar,10810.424389849071
171,24.0,15.0,blue_collar,21331.855015645793
171,25.0,15.0,schooling,
173,16.0,9.0,home,
173,17.0,9.0,home,
173,18.0,9.0,white_collar,
173,19.0,9.0,white_collar,
173,20.0,9.0,blue_collar,10788.34797092671
173,21.0,9.0,white_collar,
173,22.0,9.0,white_collar,11667.954004963494
173,23.0,9.0,blue_collar,15125.076430601015
173,24.0,9.0,white_collar,16697.07894545719
185,16.0,11.0,schooling,
185,17.0,12.0,blue_collar,
185,18.0,12.0,home,
185,19.0,12.0,blue_collar,10786.804255404262
185,20.0,12.0,blue_collar,
185,21.0,12.0,blue_collar,18472.217086885106
185,22.0,12.0,blue_collar,19310.619894933065
187,16.0,9.0,schooling,
187,17.0,10.0,schooling,
187,18.0,11.0,schooling,
187,19.0,12.0,schooling,
187,20.0,13.0,schooling,
187,21.0,14.0,blue_collar,19612.721829604827
187,22.0,14.0,blue_collar,11127.12656907528
187,23.0,14.0,white_collar,46761.79969496696
191,16.0,10.0,schooling,
191,17.0,11.0,schooling,
191,18.0,12.0,schooling,
191,19.0,13.0,schooling,
191,20.0,14.0,schooling,
191,21.0,15.0,home,
191,22.0,15.0,schooling,
191,23.0,16.0,white_collar,30594.519733225094
191,24.0,16.0,home,
194,16.0,10.0,schooling,
194,17.0,11.0,schooling,
194,18.0,12.0,schooling,
194,19.0,13.0,home,
194,20.0,13.0,schooling,
194,21.0,14.0,home,
194,22.0,14.0,schooling,
194,23.0,15.0,schooling,
196,16.0,10.0,schooling,
196,17.0,11.0,schooling,
196,18.0,12.0,schooling,
196,19.0,13.0,schooling,
196,20.0,14.0,schooling,
196,21.0,15.0,schooling,
196,22.0,16.0,white_collar,27669.79894256016
196,23.0,16.0,white_collar,31936.79444162007
198,16.0,10.0,schooling,
198,17.0,11.0,schooling,
198,18.0,12.0,schooling,
198,19.0,13.0,schooling,
198,20.0,14.0,blue_collar,17479.97472840243
198,21.0,14.0,blue_collar,17836.1767240017
198,22.0,14.0,schooling,
198,23.0,15.0,schooling,
198,24.0,16.0,schooling,
202,16.0,11.0,schooling,
202,17.0,12.0,blue_collar,
202,18.0,12.0,blue_collar,17350.008757559117
202,19.0,12.0,blue_collar,
202,20.0,12.0,white_collar,
